"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Infants","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"492","Slow","WEB","0","A","grade1","GG",38," AC",13,6,3,0,"A","YES","YES","Mr","NO","0","2018","1",29,"Monday","2018","10",25,"Thursday","Business_Hour","afternoon","fall","M"
"493","Slow","WEB","0","E","grade2","MCH",81," AB",14,2,2,0,"A","NO","NO","Mr","NO","0","2017","1",31,"Tuesday","2018","8",22,"Wednesday","Business_Hour","morning","summer","M"
"494","Slow","WEB","1","A","grade1","Lon All",120," IO Vista",14,3,1,0,"A","YES","YES","Mr","NO","0","2017","4",1,"Saturday","2019","7",17,"Wednesday","Closed","morning","summer","M"
"495","Slow","WEB","1","A","grade1","MCH",61," AA Resort",14,3,2,0,"A","NO","NO","Mr","NO","0","2018","5",16,"Wednesday","2019","7",18,"Thursday","Closed","morning","summer","M"
"496","Slow","WEB","1","A","grade1","GG",41," AB",14,2,2,0,"A","YES","NO","Mr","YES","0","2018","7",11,"Wednesday","2019","4",26,"Friday","Business_Hour","afternoon","spring","M"
"497","Slow","WEB","1","A","grade1","MCH",88," AB",14,5,1,0,"A","YES","NO","Mr","NO","0","2017","2",17,"Friday","2018","10",22,"Monday","Business_Hour","afternoon","fall","M"
"498","Slow","WEB","1","E","None","MCH",65," AC",14,2,1,1,"A","YES","YES","Mr","NO","0","2018","2",18,"Sunday","2019","5",22,"Wednesday","Business_Hour","morning","spring","M"
"499","Slow","WEB","1","A","grade1","Lon All",11," JH Area",14,4,0,0,"A","YES","YES","Mr","NO","0","2018","5",28,"Monday","2018","8",17,"Friday","Closed","morning","summer","M"
"500","Slow","WEB","0","A","grade2","MCH",28," AC",11,1,0,0,"None Required","NO","NO","Mr","NO","0","2017","6",12,"Monday","2017","12",29,"Friday","Business_Hour","morning","winter","M"
"501","Slow","WEB","1","A","grade2","Any Airport",1," AA Resort",6,1,1,0,"B","NO","NO","Mr","NO","0","2017","8",25,"Friday","2017","8",27,"Sunday","Business_Hour","morning","summer","M"
"502","Slow","WEB","0","A","grade2","Lon All",44," AC",15,3,1,0,"A","NO","NO","Mr","NO","0","2017","9",25,"Monday","2018","7",29,"Sunday","Business_Hour","afternoon","summer","M"
"503","Slow","WEB","1","A","grade2","OTHER",36," PP Area",10,2,1,0,"B","YES","NO","Mr","YES","0","2018","7",19,"Thursday","2019","3",30,"Saturday","Closed","morning","spring","M"
"504","Slow","WEB","1","A","grade2","BH",30," AB",14,2,0,0,"B","YES","YES","Mr","NO","0","2017","12",28,"Thursday","2018","7",24,"Tuesday","Closed","morning","summer","M"
"505","Slow","WEB","1","B","grade2","Lon All",54," PP Area",21,2,1,0,"A","YES","YES","Mr","YES","0","2018","6",30,"Saturday","2019","7",13,"Saturday","Closed","morning","summer","M"
"506","Slow","WEB","1","A","grade3","Lon All",32," AC",14,2,0,0,"None Required","YES","YES","Mr","NO","0","2018","5",8,"Tuesday","2018","12",18,"Tuesday","Business_Hour","morning","winter","M"
"507","Slow","WEB","1","A","grade3","Lon All",4," IO Vista",7,2,0,0,"A","YES","NO","Mr","NO","0","2019","1",15,"Tuesday","2019","2",15,"Friday","Business_Hour","afternoon","winter","M"
"508","Slow","WEB","1","E","None","MCH",29," AC",10,2,0,0,"A","YES","YES","Mr","NO","0","2018","4",1,"Sunday","2018","10",27,"Saturday","Business_Hour","morning","fall","M"
"509","Slow","WEB","1","A","grade1","MCH",35," AC",14,3,0,0,"A","NO","NO","Mr","NO","0","2017","1",30,"Monday","2017","10",2,"Monday","Business_Hour","morning","fall","M"
"510","Slow","WEB","0","B","grade1","Lon All",23," AB",14,4,0,0,"A","YES","NO","Mr","NO","0","2017","3",3,"Friday","2017","8",6,"Sunday","Closed","morning","summer","M"
"511","Slow","WEB","1","A","grade1","Lon All",87," AB",14,3,1,0,"A","NO","NO","Mr","NO","0","2017","12",10,"Sunday","2019","8",11,"Sunday","Closed","morning","summer","M"
"512","Slow","WEB","0","A","grade1","Lon All",37," AB",14,6,2,0,"B","NO","NO","Mr","NO","0","2018","1",10,"Wednesday","2018","9",26,"Wednesday","Business_Hour","afternoon","fall","M"
"513","Slow","WEB","1","A","grade1","GG",74," AC",14,4,6,0,"A","NO","NO","Mr","NO","0","2018","4",6,"Friday","2019","9",6,"Friday","Closed","morning","fall","M"
"514","Slow","WEB","0","B","grade1","Lon Gat",15," AB",14,4,0,0,"A","YES","YES","Mr","NO","0","2017","6",12,"Monday","2017","9",28,"Thursday","Business_Hour","morning","fall","M"
